entry,numberOfJets,met,jetPtRec[0],jetPtRec[1],jetPtRec[2],jetPtRec[3],jetEtaRec[0],jetEtaRec[1],jetEtaRec[2],jetEtaRec[3],jetPhiRec[0],jetPhiRec[1],jetPhiRec[2],jetPhiRec[3],jetMass[0],jetMass[1],jetMass[2],jetMass[3]
0,3,80.3874,211.527,105.494,57.7502,-1,-0.150576,0.476979,0.534775,0,-0.873168,2.28916,1.57271,0,21.4732,7.8641,10.5656,0
1,2,250.042,192.366,66.6702,-1,-1,0.231669,0.416935,0.534775,0,-1.48085,-1.05487,1.57271,0,37.6831,5.4465,10.5656,0
2,1,263.454,174.665,-1,-1,-1,1.17354,0.416935,0.534775,0,-1.52891,-1.05487,1.57271,0,17.9749,5.4465,10.5656,0
3,2,224.046,205.499,63.188,-1,-1,1.35108,1.63695,0.534775,0,0.722792,1.13336,1.57271,0,19.9342,7.01929,10.5656,0
4,2,235.754,127.316,120.217,-1,-1,1.15708,-2.29361,0.534775,0,-0.64657,-1.51041,1.57271,0,29.8235,11.4433,10.5656,0
5,3,290.125,252.939,61.3402,35.7552,-1,1.68946,1.95625,-1.84912,0,-2.75832,-0.489204,2.9577,0,30.1083,9.10558,5.06953,0
6,1,137.23,188.598,-1,-1,-1,1.49714,1.95625,-1.84912,0,-2.72743,-0.489204,2.9577,0,26.2724,9.10558,5.06953,0
7,2,503.97,453.707,76.3927,-1,-1,-1.52639,-1.96279,-1.84912,0,-1.39078,-0.492695,2.9577,0,43.7437,11.109,5.06953,0
8,2,227.329,248.802,42.7742,-1,-1,-2.1555,0.266089,-1.84912,0,-2.74406,1.41147,2.9577,0,9.0845,8.11419,5.06953,0
9,2,285.616,195.242,116.853,-1,-1,-0.64224,2.36652,-1.84912,0,-1.66684,-0.737634,2.9577,0,17.7427,5.92222,5.06953,0
10,2,200.991,168.055,40.8624,-1,-1,2.27827,0.801029,-1.84912,0,2.62999,-2.80863,2.9577,0,10.0086,3.72924,5.06953,0
11,1,210.207,231.63,-1,-1,-1,-1.25575,0.801029,-1.84912,0,-2.57081,-2.80863,2.9577,0,29.9332,3.72924,5.06953,0
12,2,290.779,247.071,70.4419,-1,-1,0.27218,-0.0967458,-1.84912,0,1.88903,1.13482,2.9577,0,23.3048,13.1062,5.06953,0
13,3,223.187,175.118,90.6992,70.7334,-1,0.866314,0.31256,-1.2353,0,-2.21819,-1.42727,1.70731,0,21.3614,11.7518,12.4362,0
14,1,166.296,170.561,-1,-1,-1,-0.681234,0.31256,-1.2353,0,-1.31762,-1.42727,1.70731,0,24.7905,11.7518,12.4362,0
15,3,212.842,156.621,69.8015,56.2694,-1,-0.720948,-2.29685,0.125604,0,-1.00124,2.94186,-1.46032,0,29.2706,9.22402,11.4641,0
16,1,176.731,202.037,-1,-1,-1,0.872872,-2.29685,0.125604,0,-0.059311,2.94186,-1.46032,0,25.3645,9.22402,11.4641,0
17,2,145.114,173.149,36.9908,-1,-1,0.471723,-2.02535,0.125604,0,-2.92288,1.27044,-1.46032,0,28.9326,6.9279,11.4641,0
18,1,241.396,203.039,-1,-1,-1,0.409039,-2.02535,0.125604,0,3.01467,1.27044,-1.46032,0,19.879,6.9279,11.4641,0
19,2,227.767,138.638,77.8115,-1,-1,-0.438575,-0.708837,0.125604,0,-2.63865,2.7322,-1.46032,0,19.8917,12.6312,11.4641,0
20,1,231.865,212.597,-1,-1,-1,-1.7393,-0.708837,0.125604,0,2.88479,2.7322,-1.46032,0,25.9266,12.6312,11.4641,0
21,1,279.297,272.742,-1,-1,-1,-0.548799,-0.708837,0.125604,0,-0.643599,2.7322,-1.46032,0,28.5712,12.6312,11.4641,0
22,0,244.19,-1,-1,-1,-1,-0.548799,-0.708837,0.125604,0,-0.643599,2.7322,-1.46032,0,28.5712,12.6312,11.4641,0
23,3,412.647,335.041,294.025,60.9956,-1,1.18232,0.835679,0.699664,0,-1.79723,0.171531,-0.756399,0,34.2815,21.619,8.4537,0
24,1,262.693,278.051,-1,-1,-1,0.232515,0.835679,0.699664,0,2.67371,0.171531,-0.756399,0,24.5601,21.619,8.4537,0
25,2,264.007,187.225,92.922,-1,-1,-0.861824,-0.525457,0.699664,0,0.0433011,-0.2771,-0.756399,0,16.3961,7.79077,8.4537,0
26,1,254.186,322.209,-1,-1,-1,-0.880494,-0.525457,0.699664,0,-2.661,-0.2771,-0.756399,0,22.0797,7.79077,8.4537,0
27,1,299.353,290.069,-1,-1,-1,1.58939,-0.525457,0.699664,0,0.649773,-0.2771,-0.756399,0,28.3588,7.79077,8.4537,0
28,1,265.742,201.934,-1,-1,-1,0.203067,-0.525457,0.699664,0,0.714256,-0.2771,-0.756399,0,14.0134,7.79077,8.4537,0
29,3,137.336,153.001,36.3716,35.649,-1,-2.01179,0.117661,-1.48411,0,-2.19142,0.278226,-1.95217,0,11.3845,6.71818,5.62476,0
30,4,381.324,326.921,126.067,53.333,46.9252,-0.441506,-0.425053,-1.34272,1.29466,-0.658308,-1.12171,-2.78802,-0.126015,47.7222,17.1754,6.76654,7.55078
31,2,401.041,226.605,205.727,-1,-1,1.12093,0.60097,-1.34272,1.29466,1.55934,1.9841,-2.78802,-0.126015,36.135,25.2804,6.76654,7.55078
32,1,347.74,294.232,-1,-1,-1,-0.679271,0.60097,-1.34272,1.29466,1.08217,1.9841,-2.78802,-0.126015,35.1132,25.2804,6.76654,7.55078
33,2,247.711,160.047,89.8699,-1,-1,-1.98993,-1.73529,-1.34272,1.29466,-1.24168,-1.70108,-2.78802,-0.126015,27.0222,14.5582,6.76654,7.55078
34,2,220.121,169.227,45.5756,-1,-1,0.633271,0.105917,-1.34272,1.29466,1.0598,0.952201,-2.78802,-0.126015,13.7583,9.27209,6.76654,7.55078
35,2,328.425,277.933,111.555,-1,-1,0.449244,0.750494,-1.34272,1.29466,-2.73803,-1.54431,-2.78802,-0.126015,17.6373,10.6342,6.76654,7.55078
36,3,291.597,257.66,94.4344,64.0635,-1,1.78721,-0.00142286,1.07903,1.29466,-1.72998,-2.57432,2.79219,-0.126015,23.787,21.8452,8.1704,7.55078
37,1,258.033,217.453,-1,-1,-1,-0.404951,-0.00142286,1.07903,1.29466,0.814796,-2.57432,2.79219,-0.126015,38.8814,21.8452,8.1704,7.55078
38,1,189.518,181.559,-1,-1,-1,-1.55295,-0.00142286,1.07903,1.29466,-1.01858,-2.57432,2.79219,-0.126015,22.8413,21.8452,8.1704,7.55078
39,2,362.869,241.559,117.963,-1,-1,1.38629,0.757763,1.07903,1.29466,-1.25019,-1.4917,2.79219,-0.126015,32.4491,12.5609,8.1704,7.55078
40,3,141.428,176.703,175.016,79.9285,-1,0.97843,-1.10878,-1.57117,1.29466,-1.36087,2.42017,1.99846,-0.126015,24.0861,20.888,8.70898,7.55078
41,3,235.405,212.763,51.3005,39.1323,-1,-2.10773,-0.987878,2.15075,1.29466,1.23165,2.3359,2.73764,-0.126015,23.4918,3.62761,5.65701,7.55078
42,3,135.707,525.435,418.355,41.4906,-1,2.26174,-0.759603,-1.37657,1.29466,2.62719,-0.816806,1.23492,-0.126015,24.9512,73.2853,5.8388,7.55078
43,3,458.286,501.044,120.175,77.1949,-1,0.309379,0.374363,0.0579796,1.29466,2.84517,-0.888721,-2.55872,-0.126015,46.9336,13.1086,10.6694,7.55078
44,1,245.009,295.617,-1,-1,-1,0.19378,0.374363,0.0579796,1.29466,0.741048,-0.888721,-2.55872,-0.126015,11.7699,13.1086,10.6694,7.55078
45,1,250.568,247.169,-1,-1,-1,0.898046,0.374363,0.0579796,1.29466,0.0350838,-0.888721,-2.55872,-0.126015,22.2763,13.1086,10.6694,7.55078
46,2,246.754,205.663,46.1485,-1,-1,-0.137464,-0.53354,0.0579796,1.29466,2.21585,2.80955,-2.55872,-0.126015,37.93,9.76401,10.6694,7.55078
47,1,322.517,345.578,-1,-1,-1,-0.532457,-0.53354,0.0579796,1.29466,-0.729299,2.80955,-2.55872,-0.126015,10.567,9.76401,10.6694,7.55078
48,2,801.631,731.442,100.479,-1,-1,-0.690444,2.23947,0.0579796,1.29466,1.00861,1.12417,-2.55872,-0.126015,51.6944,13.255,10.6694,7.55078
49,3,300.443,164.459,119.079,47.1586,-1,-0.495798,0.0819772,-2.39878,1.29466,-1.81172,-2.92442,-1.39131,-0.126015,30.2551,15.6248,5.97413,7.55078
50,1,269.956,284.523,-1,-1,-1,-1.73686,0.0819772,-2.39878,1.29466,-0.482553,-2.92442,-1.39131,-0.126015,46.1231,15.6248,5.97413,7.55078
51,1,198.299,206.609,-1,-1,-1,-2.03684,0.0819772,-2.39878,1.29466,-0.19317,-2.92442,-1.39131,-0.126015,18.4067,15.6248,5.97413,7.55078
52,1,271.889,285.338,-1,-1,-1,0.663717,0.0819772,-2.39878,1.29466,-1.81407,-2.92442,-1.39131,-0.126015,22.856,15.6248,5.97413,7.55078
53,2,171.672,149.329,47.2978,-1,-1,0.880349,0.453562,-2.39878,1.29466,-0.188435,-0.0246309,-1.39131,-0.126015,13.6347,11.7888,5.97413,7.55078
54,2,132.821,209.59,76.1743,-1,-1,0.184983,1.65291,-2.39878,1.29466,2.4168,-0.785964,-1.39131,-0.126015,34.6451,9.75565,5.97413,7.55078
55,1,217.056,246.383,-1,-1,-1,0.00108454,1.65291,-2.39878,1.29466,-0.418775,-0.785964,-1.39131,-0.126015,33.1994,9.75565,5.97413,7.55078
56,2,340.99,193.774,151.779,-1,-1,0.346909,0.0575408,-2.39878,1.29466,-1.91656,-2.26767,-1.39131,-0.126015,24.8209,16.7355,5.97413,7.55078
57,1,249.026,235.856,-1,-1,-1,-0.527504,0.0575408,-2.39878,1.29466,1.78471,-2.26767,-1.39131,-0.126015,37.3206,16.7355,5.97413,7.55078
58,2,310.64,391.188,78.2818,-1,-1,-0.246624,-1.93448,-2.39878,1.29466,-1.96212,1.79616,-1.39131,-0.126015,27.0612,11.28,5.97413,7.55078
59,3,222.611,140.519,97.8171,71.6073,-1,-1.26622,-2.15151,-1.59714,1.29466,-1.01301,-2.5721,-2.70265,-0.126015,17.6972,16.373,17.9695,7.55078
60,2,221.554,156.958,55.9178,-1,-1,0.867218,2.34041,-1.59714,1.29466,1.38492,1.32406,-2.70265,-0.126015,23.1596,6.74602,17.9695,7.55078
61,1,374.036,346.857,-1,-1,-1,2.0306,2.34041,-1.59714,1.29466,-0.496913,1.32406,-2.70265,-0.126015,27.4716,6.74602,17.9695,7.55078
62,1,267.781,229.411,-1,-1,-1,1.80946,2.34041,-1.59714,1.29466,0.48716,1.32406,-2.70265,-0.126015,19.4681,6.74602,17.9695,7.55078
63,1,186.238,155.647,-1,-1,-1,1.5273,2.34041,-1.59714,1.29466,-0.665918,1.32406,-2.70265,-0.126015,26.5747,6.74602,17.9695,7.55078
64,2,180.609,196.375,36.1421,-1,-1,2.1267,-1.93793,-1.59714,1.29466,2.83625,-1.11913,-2.70265,-0.126015,21.4063,5.67959,17.9695,7.55078
65,3,84.9684,160.129,158.226,51.0682,-1,-2.22618,-0.00176226,-1.42621,1.29466,-1.00426,2.73674,1.62732,-0.126015,14.6427,38.7085,6.75262,7.55078
66,1,193.059,200.475,-1,-1,-1,-0.149869,-0.00176226,-1.42621,1.29466,-3.03133,2.73674,1.62732,-0.126015,21.2341,38.7085,6.75262,7.55078
67,1,351.448,392.731,-1,-1,-1,0.718305,-0.00176226,-1.42621,1.29466,-1.23911,2.73674,1.62732,-0.126015,23.1687,38.7085,6.75262,7.55078
68,4,555.912,313.714,159.374,86.6527,78.7359,0.625225,2.02486,-0.169079,-1.54423,0.257501,-0.534278,0.135872,1.04047,38.4239,22.7125,15.8471,10.6493
69,1,198.866,215.186,-1,-1,-1,1.19586,2.02486,-0.169079,-1.54423,-0.919428,-0.534278,0.135872,1.04047,25.0072,22.7125,15.8471,10.6493
70,3,921.371,682.498,362.847,52.8998,-1,-1.0527,0.92241,-1.24437,-1.54423,-0.985788,-1.82907,-0.23333,1.04047,34.6878,22.7373,12.952,10.6493
