entry,numberOfJets,met,jetPtRec[0],jetPtRec[1],jetPtRec[2],jetPtRec[3],jetEtaRec[0],jetEtaRec[1],jetEtaRec[2],jetEtaRec[3],jetPhiRec[0],jetPhiRec[1],jetPhiRec[2],jetPhiRec[3],jetMass[0],jetMass[1],jetMass[2],jetMass[3]
0,1,296.16,299.878,-1,-1,-1,-0.370578,0,0,0,1.94733,0,0,0,26.9444,0,0,0
1,3,327.266,206.336,107.953,55.0848,-1,0.520788,-2.36415,0.373186,0,-0.440108,-0.60391,-1.09432,0,24.7022,11.6561,10.3263,0
2,3,399.799,380.227,68.8415,43.587,-1,-1.46097,-1.88411,0.782778,0,-2.96484,-2.41576,0.34097,0,47.7142,13.7601,7.89883,0
3,2,435.202,315.304,40.2604,-1,-1,-0.714962,-1.65467,0.782778,0,-2.25036,-2.15698,0.34097,0,42.5616,2.84653,7.89883,0
4,1,231.831,249.982,-1,-1,-1,-1.43545,-1.65467,0.782778,0,-1.2183,-2.15698,0.34097,0,31.1045,2.84653,7.89883,0
5,1,176.42,202.533,-1,-1,-1,-0.107676,-1.65467,0.782778,0,1.59621,-2.15698,0.34097,0,15.0079,2.84653,7.89883,0
6,2,295.934,155.811,59.6488,-1,-1,-0.121803,0.217611,0.782778,0,-3.0212,-2.66263,0.34097,0,34.2163,8.94339,7.89883,0
7,3,682.093,616.848,80.5165,76.2303,-1,0.731432,1.88055,2.30148,0,2.62692,2.98805,1.30001,0,30.6272,12.1176,7.89389,0
8,2,550.97,520.659,195.196,-1,-1,-1.01702,-1.06676,2.30148,0,-2.78413,-1.42273,1.30001,0,67.9932,31.1319,7.89389,0
9,1,312.804,370.177,-1,-1,-1,-0.336174,-1.06676,2.30148,0,-1.87441,-1.42273,1.30001,0,22.707,31.1319,7.89389,0
10,2,116.955,189.85,82.8786,-1,-1,-1.14216,-0.979782,2.30148,0,2.9254,-0.777792,1.30001,0,22.5607,10.6115,7.89389,0
11,1,224.625,243.18,-1,-1,-1,0.493628,-0.979782,2.30148,0,2.31334,-0.777792,1.30001,0,20.9363,10.6115,7.89389,0
12,1,457.818,478.356,-1,-1,-1,-2.21068,-0.979782,2.30148,0,1.56842,-0.777792,1.30001,0,28.4182,10.6115,7.89389,0
13,2,338.776,305.517,59.9088,-1,-1,1.58009,0.146282,2.30148,0,-0.429731,-1.49567,1.30001,0,45.7872,9.59847,7.89389,0
14,2,284.294,175.724,124.054,-1,-1,-0.348979,-0.991451,2.30148,0,1.54858,1.45632,1.30001,0,13.7052,12.5803,7.89389,0
15,2,395.208,397.134,36.741,-1,-1,-0.974526,0.454069,2.30148,0,0.358064,1.4698,1.30001,0,46.2841,5.90617,7.89389,0
16,1,194.004,201.124,-1,-1,-1,-0.47426,0.454069,2.30148,0,-2.00862,1.4698,1.30001,0,35.0712,5.90617,7.89389,0
17,2,95.6513,210.681,175.843,-1,-1,1.16725,-0.582041,2.30148,0,0.199033,2.85884,1.30001,0,12.5214,27.7016,7.89389,0
18,1,202.462,163.655,-1,-1,-1,0.255951,-0.582041,2.30148,0,-1.93267,2.85884,1.30001,0,16.2946,27.7016,7.89389,0
19,1,573.149,589.175,-1,-1,-1,0.820885,-0.582041,2.30148,0,2.89768,2.85884,1.30001,0,45.6631,27.7016,7.89389,0
20,2,154.896,224.578,94.8911,-1,-1,1.334,-2.19194,2.30148,0,-2.65293,-0.610652,1.30001,0,39.0377,10.8787,7.89389,0
21,3,116.24,157.636,114.055,111.905,-1,-2.25163,0.0208804,-0.809155,0,2.49709,-0.148607,-0.0607757,0,11.5273,16.1974,17.0845,0
22,3,229.1,252.702,103.688,82.9381,-1,1.07873,-2.07178,-0.179692,0,0.728069,0.821155,-3.08631,0,23.0577,12.0559,12.9534,0
23,3,154.184,261.33,111.86,87.7628,-1,0.31103,0.33024,-0.0809957,0,-2.65325,0.949189,1.5038,0,32.8334,15.1434,9.77066,0
24,1,232.724,252.746,-1,-1,-1,-0.737627,0.33024,-0.0809957,0,1.38408,0.949189,1.5038,0,12.7777,15.1434,9.77066,0
25,3,371.774,224.924,105.76,53.2671,-1,-0.470684,-1.53394,0.0077978,0,-1.83678,-1.53576,-2.14013,0,22.7898,15.2191,7.9174,0
26,2,193.711,179.605,40.5301,-1,-1,-1.24704,1.65981,0.0077978,0,2.07474,-0.130874,-2.14013,0,21.0605,7.27961,7.9174,0
27,2,272.548,287.997,101.906,-1,-1,0.767342,-0.148595,0.0077978,0,2.72918,2.62458,-2.14013,0,23.8124,15.971,7.9174,0
28,1,494.858,536.759,-1,-1,-1,0.382638,-0.148595,0.0077978,0,-3.07518,2.62458,-2.14013,0,34.621,15.971,7.9174,0
29,1,200.692,191.662,-1,-1,-1,1.40737,-0.148595,0.0077978,0,1.02576,2.62458,-2.14013,0,21.7539,15.971,7.9174,0
30,3,579.813,517.808,38.2337,35.8346,-1,-0.764917,1.59048,2.29154,0,2.1184,-2.77548,2.87793,0,36.1129,5.74507,5.27946,0
31,2,182.395,213.746,48.9525,-1,-1,-1.29103,0.446658,2.29154,0,3.08778,1.05957,2.87793,0,17.8724,7.13118,5.27946,0
32,2,228.969,207.652,39.5737,-1,-1,-1.51017,-1.64652,2.29154,0,-3.10688,-1.27894,2.87793,0,23.9255,6.31455,5.27946,0
33,3,324.262,306.847,89.36,48.133,-1,1.38592,-1.758,-2.04665,0,0.339188,0.229961,-1.44893,0,45.0548,10.2908,7.55601,0
34,1,281.747,188.606,-1,-1,-1,0.854267,-1.758,-2.04665,0,0.237223,0.229961,-1.44893,0,27.0491,10.2908,7.55601,0
35,2,81.9362,255.282,233.072,-1,-1,0.114829,-2.24217,-2.04665,0,0.390476,-3.07155,-1.44893,0,39.5356,17.3973,7.55601,0
36,1,236.821,236.501,-1,-1,-1,2.24054,-2.24217,-2.04665,0,2.93454,-3.07155,-1.44893,0,14.3531,17.3973,7.55601,0
37,3,289.954,142.52,129.161,63.4933,-1,0.316169,2.28965,1.36769,0,-1.28313,-2.52174,-1.45532,0,17.9115,13.3017,9.48645,0
38,2,244.723,121.4,43.2382,-1,-1,0.664159,0.269169,1.36769,0,0.188004,-1.02464,-1.45532,0,21.3559,9.69571,9.48645,0
39,2,370.874,626.198,294.9,-1,-1,0.671552,1.60725,1.36769,0,-2.46948,0.103247,-1.45532,0,71.6304,33.5199,9.48645,0
40,2,175.801,190.536,56.8238,-1,-1,-0.150438,1.0381,1.36769,0,-0.38503,1.47457,-1.45532,0,26.2979,9.13867,9.48645,0
41,1,156.612,169.704,-1,-1,-1,-0.755726,1.0381,1.36769,0,3.03562,1.47457,-1.45532,0,39.1414,9.13867,9.48645,0
42,0,275.736,-1,-1,-1,-1,-0.755726,1.0381,1.36769,0,3.03562,1.47457,-1.45532,0,39.1414,9.13867,9.48645,0
43,1,197.474,185.752,-1,-1,-1,1.80074,1.0381,1.36769,0,0.582905,1.47457,-1.45532,0,15.2237,9.13867,9.48645,0
44,1,214.255,231.282,-1,-1,-1,-0.783336,1.0381,1.36769,0,0.237786,1.47457,-1.45532,0,14.8852,9.13867,9.48645,0
45,1,331.643,301.017,-1,-1,-1,0.103133,1.0381,1.36769,0,-3.12538,1.47457,-1.45532,0,50.2263,9.13867,9.48645,0
46,1,254.243,259.164,-1,-1,-1,-1.88537,1.0381,1.36769,0,1.6447,1.47457,-1.45532,0,23.3168,9.13867,9.48645,0
47,2,264.328,170.101,75.6672,-1,-1,-0.814374,-1.27364,1.36769,0,-1.96441,-2.03795,-1.45532,0,23.7764,11.0868,9.48645,0
48,2,534.868,522.623,35.7099,-1,-1,1.08296,-0.981555,1.36769,0,-1.49523,-2.50436,-1.45532,0,45.0813,6.16344,9.48645,0
49,1,351.046,403.893,-1,-1,-1,0.862198,-0.981555,1.36769,0,-0.266228,-2.50436,-1.45532,0,37.4253,6.16344,9.48645,0
50,1,245.095,249.722,-1,-1,-1,-0.81908,-0.981555,1.36769,0,-0.812343,-2.50436,-1.45532,0,40.2359,6.16344,9.48645,0
