entry,numberOfJets,met,jetPtRec[0],jetPtRec[1],jetPtRec[2],jetPtRec[3],jetEtaRec[0],jetEtaRec[1],jetEtaRec[2],jetEtaRec[3],jetPhiRec[0],jetPhiRec[1],jetPhiRec[2],jetPhiRec[3],jetMass[0],jetMass[1],jetMass[2],jetMass[3]
0,1,92.273,96.5828,-1,-1,-1,-1.65912,0,0,0,-0.53774,0,0,0,22.63,0,0,0
1,1,112.038,66.9557,-1,-1,-1,-2.09991,0,0,0,0.89109,0,0,0,3.41906,0,0,0
2,1,112.038,66.9557,-1,-1,-1,-2.09991,0,0,0,0.89109,0,0,0,3.41906,0,0,0
3,5,509.611,1141.48,652.754,64.7041,44.1809,-0.0920455,0.249176,-0.869756,-1.93212,-2.38922,0.543884,2.06623,-0.572162,47.3042,107.437,9.25538,10.1207
4,1,121.201,50.5355,-1,-1,-1,-0.440098,0.249176,-0.869756,-1.93212,1.41429,0.543884,2.06623,-0.572162,7.71917,107.437,9.25538,10.1207
5,1,121.201,50.5355,-1,-1,-1,-0.440098,0.249176,-0.869756,-1.93212,1.41429,0.543884,2.06623,-0.572162,7.71917,107.437,9.25538,10.1207
6,4,258.222,202.977,84.9595,56.8911,44.0239,1.68179,-0.934998,-0.538958,0.368085,0.78369,-1.43386,-0.0887544,1.48654,49.1565,12.4107,9.35794,5.05062
7,4,272.717,390.379,67.7431,46.7659,35.8001,-1.21089,0.607963,1.23545,0.167086,0.67072,-2.17819,-2.40054,2.49933,31.1169,9.93954,6.9321,5.32196
8,1,96.7904,58.1723,-1,-1,-1,0.745799,0.607963,1.23545,0.167086,-1.18103,-2.17819,-2.40054,2.49933,11.1111,9.93954,6.9321,5.32196
9,2,95.916,60.0567,46.3885,-1,-1,-0.824049,-0.476576,1.23545,0.167086,-0.114886,-0.757532,-2.40054,2.49933,10.2724,8.3542,6.9321,5.32196
10,1,93.5169,58.1963,-1,-1,-1,-0.574183,-0.476576,1.23545,0.167086,-0.0998856,-0.757532,-2.40054,2.49933,4.85351,8.3542,6.9321,5.32196
11,1,41.9862,73.0695,-1,-1,-1,-2.09141,-0.476576,1.23545,0.167086,-2.34463,-0.757532,-2.40054,2.49933,6.58159,8.3542,6.9321,5.32196
12,1,52.442,43.5225,-1,-1,-1,-1.00212,-0.476576,1.23545,0.167086,2.50091,-0.757532,-2.40054,2.49933,7.1839,8.3542,6.9321,5.32196
13,3,78.1153,150.784,87.6338,44.1234,-1,1.50911,0.641196,-0.919583,0.167086,3.00216,-0.203898,-0.152708,2.49933,24.0069,4.91111,3.04534,5.32196
14,1,75.8349,65.0251,-1,-1,-1,-1.53273,0.641196,-0.919583,0.167086,1.68323,-0.203898,-0.152708,2.49933,7.9544,4.91111,3.04534,5.32196
15,3,179.102,347.212,111.318,59.8443,-1,-0.1853,0.0709844,-0.390539,0.167086,-1.92721,0.771696,2.07299,2.49933,9.39672,18.5404,7.13087,5.32196
16,2,47.4063,51.4147,46.2538,-1,-1,-1.14536,-1.43386,-0.390539,0.167086,-2.3467,-1.93324,2.07299,2.49933,7.3244,6.07179,7.13087,5.32196
17,2,47.9521,69.8956,62.3901,-1,-1,-0.923804,-0.297677,-0.390539,0.167086,0.906897,-1.32243,2.07299,2.49933,10.4714,13.2815,7.13087,5.32196
18,2,49.3336,68.6664,43.8206,-1,-1,1.28467,2.07964,-0.390539,0.167086,-1.35808,2.80185,2.07299,2.49933,11.4347,5.15587,7.13087,5.32196
19,2,35.1572,52.5954,50.11,-1,-1,1.24852,1.56176,-0.390539,0.167086,-1.82053,0.0477652,2.07299,2.49933,10.8654,8.91743,7.13087,5.32196
20,1,28.8912,44.5487,-1,-1,-1,-1.33177,1.56176,-0.390539,0.167086,0.635124,0.0477652,2.07299,2.49933,10.5483,8.91743,7.13087,5.32196
21,5,112.687,475.07,247.61,193.222,60.7526,-0.932228,-2.13073,-0.190082,0.767237,-0.273116,2.8154,-2.87499,-3.09814,60.5716,16.3266,18.1602,6.50712
22,1,44.3671,73.2,-1,-1,-1,-0.651774,-2.13073,-0.190082,0.767237,-2.58095,2.8154,-2.87499,-3.09814,11.9784,16.3266,18.1602,6.50712
23,4,54.3603,77.0244,45.3213,43.9918,35.1033,-0.679143,-2.14105,-1.36064,-0.948603,-0.994752,2.86408,0.989116,-0.481011,10.0788,7.63394,7.56362,6.15197
24,4,223.897,117.832,97.5265,80.9657,41.4193,-1.44015,-0.85852,1.91906,1.76217,-1.63354,-1.41966,0.30174,-2.33581,13.7312,12.5459,10.311,3.78214
25,3,156.393,73.8107,57.26,54.3964,-1,0.890632,-0.750669,-1.18682,1.76217,-0.83024,-0.547366,-0.281691,-2.33581,12.7486,8.13776,6.66731,3.78214
26,3,164.387,266.102,75.4373,59.1085,-1,1.02302,-1.7859,1.64979,1.76217,-1.25241,2.09265,-0.588818,-2.33581,48.2184,6.46706,12.7095,3.78214
27,3,435.568,445.164,107.886,73.0996,-1,0.888992,0.0406081,-1.13513,1.76217,2.45459,-2.25913,-2.33445,-2.33581,48.8353,20.7194,7.30516,3.78214
28,0,73.3635,-1,-1,-1,-1,0.888992,0.0406081,-1.13513,1.76217,2.45459,-2.25913,-2.33445,-2.33581,48.8353,20.7194,7.30516,3.78214
29,4,85.562,157.495,76.7922,51.5506,40.9518,1.13467,0.513457,-0.476467,-0.56512,2.74535,-1.75989,0.610584,-1.03486,20.7309,9.87216,7.72943,6.25433
30,2,151.383,100.687,67.3714,-1,-1,0.702487,0.924039,-0.476467,-0.56512,-0.652717,-1.95263,0.610584,-1.03486,19.4785,8.2518,7.72943,6.25433
31,1,123.096,38.0031,-1,-1,-1,-0.896184,0.924039,-0.476467,-0.56512,0.319988,-1.95263,0.610584,-1.03486,5.57557,8.2518,7.72943,6.25433
32,3,48.5418,66.9424,58.7173,48.4202,-1,-1.111,-0.219907,-0.122699,-0.56512,-0.37548,3.03224,1.65509,-1.03486,6.61193,9.26856,6.31675,6.25433
33,2,108.856,94.9062,44.5714,-1,-1,0.970539,-0.591537,-0.122699,-0.56512,1.81568,0.863385,1.65509,-1.03486,4.58823,6.88358,6.31675,6.25433
34,1,24.2724,53.0954,-1,-1,-1,0.340496,-0.591537,-0.122699,-0.56512,0.246973,0.863385,1.65509,-1.03486,6.20389,6.88358,6.31675,6.25433
35,3,156.458,238.312,76.775,59.9914,-1,-1.02121,0.552187,-1.64389,-0.56512,-2.5703,-0.332656,0.074579,-1.03486,15.9462,7.1054,2.97655,6.25433
36,4,53.868,88.0458,65.8114,44.2392,35.865,0.412128,-0.314137,1.12382,-0.734152,-0.49268,-2.02379,2.53913,2.7899,10.3578,7.7541,5.27562,6.96107
37,3,245.213,146.292,56.4861,49.7633,-1,1.20267,-0.627654,-1.64331,-0.734152,0.574058,1.68754,2.45601,2.7899,18.1471,6.68569,9.21001,6.96107
38,2,92.2527,221.168,71.7744,-1,-1,-2.07736,-1.837,-1.64331,-0.734152,-2.39253,1.83913,2.45601,2.7899,12.5249,10.3287,9.21001,6.96107
39,2,92.2527,221.168,71.7744,-1,-1,-2.07736,-1.837,-1.64331,-0.734152,-2.39253,1.83913,2.45601,2.7899,12.5249,10.3287,9.21001,6.96107
40,2,349.265,249.33,117.228,-1,-1,1.33593,0.809802,-1.64331,-0.734152,2.2372,1.67824,2.45601,2.7899,21.7369,12.6553,9.21001,6.96107
41,2,33.653,65.0964,43.6026,-1,-1,-1.90557,-2.39454,-1.64331,-0.734152,1.10538,-1.43675,2.45601,2.7899,10.365,7.04977,9.21001,6.96107
42,0,73.6515,-1,-1,-1,-1,-1.90557,-2.39454,-1.64331,-0.734152,1.10538,-1.43675,2.45601,2.7899,10.365,7.04977,9.21001,6.96107
43,3,58.7245,95.4132,68.4953,66.3182,-1,0.717668,-1.92618,0.591556,-0.734152,-0.527651,2.76734,1.46583,2.7899,15.2784,11.8422,2.54393,6.96107
44,4,223.283,144.479,124.119,78.8415,53.8233,-0.144171,-1.30481,-1.34675,-1.69841,3.13176,-1.35554,2.68446,-0.886153,7.25478,13.2138,6.19537,8.52269
45,1,67.6665,53.148,-1,-1,-1,1.37917,-1.30481,-1.34675,-1.69841,-0.988764,-1.35554,2.68446,-0.886153,7.69106,13.2138,6.19537,8.52269
46,4,102.298,148.678,79.3726,68.1884,41.0671,-2.17459,-0.96258,0.984322,-0.939071,0.106924,1.72733,2.96801,-1.87002,14.9997,14.9743,17.0519,8.6173
47,1,142.851,117.886,-1,-1,-1,0.591208,-0.96258,0.984322,-0.939071,-1.92769,1.72733,2.96801,-1.87002,15.6474,14.9743,17.0519,8.6173
48,0,49.4024,-1,-1,-1,-1,0.591208,-0.96258,0.984322,-0.939071,-1.92769,1.72733,2.96801,-1.87002,15.6474,14.9743,17.0519,8.6173
49,1,44.7242,74.8413,-1,-1,-1,2.08516,-0.96258,0.984322,-0.939071,-0.455986,1.72733,2.96801,-1.87002,12.7623,14.9743,17.0519,8.6173
50,1,61.9056,91.8436,-1,-1,-1,-0.306299,-0.96258,0.984322,-0.939071,-1.11195,1.72733,2.96801,-1.87002,15.1966,14.9743,17.0519,8.6173
51,1,11.4991,35.0486,-1,-1,-1,-0.627988,-0.96258,0.984322,-0.939071,-1.90532,1.72733,2.96801,-1.87002,4.34391,14.9743,17.0519,8.6173
52,2,56.202,97.2927,69.7368,-1,-1,-0.864036,-1.71736,0.984322,-0.939071,-2.77711,-0.610695,2.96801,-1.87002,16.2526,10.0774,17.0519,8.6173
53,2,100.589,167.902,41.9317,-1,-1,1.90164,-1.46425,0.984322,-0.939071,2.98342,-0.0370641,2.96801,-1.87002,11.2099,8.42393,17.0519,8.6173
54,2,41.4086,74.7349,45.4285,-1,-1,0.398233,-0.651097,0.984322,-0.939071,0.804602,-2.83849,2.96801,-1.87002,8.75282,9.91493,17.0519,8.6173
55,1,54.4456,54.2256,-1,-1,-1,-0.128401,-0.651097,0.984322,-0.939071,-1.60144,-2.83849,2.96801,-1.87002,8.7578,9.91493,17.0519,8.6173
56,1,54.4456,54.2256,-1,-1,-1,-0.128401,-0.651097,0.984322,-0.939071,-1.60144,-2.83849,2.96801,-1.87002,8.7578,9.91493,17.0519,8.6173
57,1,46.7364,53.0352,-1,-1,-1,-0.230793,-0.651097,0.984322,-0.939071,0.568859,-2.83849,2.96801,-1.87002,8.16873,9.91493,17.0519,8.6173
58,2,394.981,457.929,63.4833,-1,-1,-0.100672,1.04782,0.984322,-0.939071,2.95594,0.448774,2.96801,-1.87002,34.8477,10.0051,17.0519,8.6173
59,2,149.259,104.119,44.914,-1,-1,-1.41374,-1.32813,0.984322,-0.939071,-0.0863455,1.02952,2.96801,-1.87002,17.3108,5.65391,17.0519,8.6173
60,3,25.3562,76.2081,67.1384,43.3939,-1,1.53624,0.906294,-1.6405,-0.939071,2.39926,0.763709,-1.60033,-1.87002,7.57033,11.6148,6.96004,8.6173
61,1,72.5375,58.6374,-1,-1,-1,-1.08299,0.906294,-1.6405,-0.939071,-0.964463,0.763709,-1.60033,-1.87002,7.95846,11.6148,6.96004,8.6173
62,1,51.7626,47.7283,-1,-1,-1,-0.0969888,0.906294,-1.6405,-0.939071,1.99403,0.763709,-1.60033,-1.87002,6.24609,11.6148,6.96004,8.6173
63,3,103.852,86.2265,55.5192,50.5825,-1,-2.37678,-0.58921,-0.869063,-0.939071,-2.37436,1.5212,-2.60328,-1.87002,14.0772,11.507,7.96214,8.6173
64,1,133.164,127.554,-1,-1,-1,1.95863,-0.58921,-0.869063,-0.939071,-0.81371,1.5212,-2.60328,-1.87002,13.5127,11.507,7.96214,8.6173
65,0,20.8209,-1,-1,-1,-1,1.95863,-0.58921,-0.869063,-0.939071,-0.81371,1.5212,-2.60328,-1.87002,13.5127,11.507,7.96214,8.6173
66,0,6.86732,-1,-1,-1,-1,1.95863,-0.58921,-0.869063,-0.939071,-0.81371,1.5212,-2.60328,-1.87002,13.5127,11.507,7.96214,8.6173
67,1,42.5776,39.868,-1,-1,-1,1.14292,-0.58921,-0.869063,-0.939071,3.11928,1.5212,-2.60328,-1.87002,5.98256,11.507,7.96214,8.6173
68,1,16.5123,46.6654,-1,-1,-1,2.23733,-0.58921,-0.869063,-0.939071,-1.81252,1.5212,-2.60328,-1.87002,5.26756,11.507,7.96214,8.6173
69,2,35.4959,42.0931,35.8471,-1,-1,1.31654,0.317405,-0.869063,-0.939071,0.797718,-1.75548,-2.60328,-1.87002,4.44622,4.76691,7.96214,8.6173
70,1,133.032,112.68,-1,-1,-1,-0.199671,0.317405,-0.869063,-0.939071,-0.392143,-1.75548,-2.60328,-1.87002,15.5627,4.76691,7.96214,8.6173
71,0,40.6921,-1,-1,-1,-1,-0.199671,0.317405,-0.869063,-0.939071,-0.392143,-1.75548,-2.60328,-1.87002,15.5627,4.76691,7.96214,8.6173
72,1,34.6535,81.5792,-1,-1,-1,0.207674,0.317405,-0.869063,-0.939071,1.93438,-1.75548,-2.60328,-1.87002,4.81551,4.76691,7.96214,8.6173
73,2,146.613,91.4506,86.3557,-1,-1,0.251649,0.103793,-0.869063,-0.939071,-1.94892,-0.828084,-2.60328,-1.87002,12.4387,11.2641,7.96214,8.6173
74,3,213,103.32,74.3097,59.8477,-1,-1.77038,-0.197738,-1.76842,-0.939071,-3.08959,-2.53766,-1.23984,-1.87002,15.4992,12.8156,12.9191,8.6173
