entry,numberOfJets,numberOfBJets,met,jetPtRec[0],jetPtRec[1],jetPtRec[2],jetPtRec[3],jetEtaRec[0],jetEtaRec[1],jetEtaRec[2],jetEtaRec[3],jetPhiRec[0],jetPhiRec[1],jetPhiRec[2],jetPhiRec[3],jetMass[0],jetMass[1],jetMass[2],jetMass[3]
0,1,0,268.111,202.302,-1,-1,-1,0.377567,0,0,0,2.04327,0,0,0,26.5145,0,0,0
1,2,0,214.842,159.051,63.9462,-1,-1,0.495068,0.822198,0,0,-0.538489,0.0884905,0,0,11.4211,11.4206,0,0
2,2,0,232.337,184.076,80.3384,-1,-1,1.36691,1.67469,0,0,1.6692,1.20573,0,0,34.509,8.30323,0,0
3,1,0,258.671,293.22,-1,-1,-1,-2.10024,0,0,0,1.18768,0,0,0,16.966,0,0,0
4,2,0,275.886,195.242,85.5631,-1,-1,0.444885,-0.418775,0,0,0.662023,0.568017,0,0,50.0276,15.6228,0,0
5,1,0,536.674,544.622,-1,-1,-1,0.354066,0,0,0,0.935543,0,0,0,101.173,0,0,0
6,1,0,413.119,358.616,-1,-1,-1,-0.955436,0,0,0,0.845745,0,0,0,79.703,0,0,0
7,1,0,232.344,225.11,-1,-1,-1,2.08684,0,0,0,-0.998261,0,0,0,15.8973,0,0,0
8,2,0,225.958,290.571,47.3903,-1,-1,-0.593594,1.7441,0,0,2.91448,-0.371575,0,0,34.2248,13.0397,0,0
9,1,0,141.354,168.192,-1,-1,-1,0.48063,0,0,0,-2.38225,0,0,0,25.2877,0,0,0
10,1,0,234.737,227.401,-1,-1,-1,-0.775828,0,0,0,0.2373,0,0,0,43.2345,0,0,0
11,2,0,396.676,378.162,45.3332,-1,-1,1.25019,0.789263,0,0,-1.23652,-1.80699,0,0,45.2506,9.7981,0,0
12,1,0,220.284,234.152,-1,-1,-1,-0.087785,0,0,0,-0.647257,0,0,0,20.3752,0,0,0
13,2,0,54.615,158.478,121.419,-1,-1,-0.910361,0.0828498,0,0,-2.12491,1.01134,0,0,27.0963,25.6619,0,0
14,1,0,174.882,174.713,-1,-1,-1,1.35003,0,0,0,2.41809,0,0,0,20.1193,0,0,0
15,3,0,238.962,88.3546,81.8578,56.3176,-1,1.04935,0.560748,1.57507,0,0.915712,2.58937,1.13642,0,10.4665,13.4609,11.2589,0
16,2,0,207.883,199.416,47.2433,-1,-1,-0.577915,-0.791583,0,0,-0.287411,-1.17856,0,0,36.2082,9.04184,0,0
17,1,0,413.421,342.731,-1,-1,-1,-1.86291,0,0,0,-0.752579,0,0,0,21.2828,0,0,0
18,2,0,185.511,178.65,42.2706,-1,-1,0.377902,1.12368,0,0,1.01967,0.961039,0,0,29.1549,7.23168,0,0
19,2,0,319.365,280.317,86.9821,-1,-1,-0.125973,1.11664,0,0,2.56135,-2.23255,0,0,25.8103,8.77824,0,0
20,7,0,326.854,251.593,174.048,146.29,124.383,0.707743,-0.562766,-1.90531,1.79562,0.0707029,2.38613,2.78911,-2.74753,17.9617,18.6712,26.6924,15.4188
21,2,0,90.2899,81.604,57.7528,-1,-1,2.09308,1.60259,0,0,2.52189,-1.40702,0,0,12.7114,9.96858,0,0
22,2,0,413.271,426.246,40.4891,-1,-1,0.737294,0.421124,0,0,-1.57619,-1.93661,0,0,33.0346,7.14156,0,0
23,1,0,149.608,159.951,-1,-1,-1,1.0791,0,0,0,1.6765,0,0,0,21.1366,0,0,0
24,1,0,164.709,227.599,-1,-1,-1,-1.82862,0,0,0,-0.394843,0,0,0,23.5461,0,0,0
25,3,0,320.381,252.949,174.574,80.1922,-1,1.28565,0.803084,2.07203,0,-2.96522,2.13324,1.05937,0,21.6245,13.709,10.3552,0
26,1,0,241.484,227.24,-1,-1,-1,-1.79922,0,0,0,-0.564866,0,0,0,19.9285,0,0,0
27,2,0,520.337,624.86,139.024,-1,-1,0.768624,-0.153239,0,0,-0.243135,2.35954,0,0,55.9609,18.0036,0,0
28,1,0,285.148,37.9901,-1,-1,-1,2.32302,0,0,0,1.1689,0,0,0,6.8154,0,0,0
29,3,0,164.642,208.148,67.9422,36.9376,-1,-0.361113,-1.52788,-1.48802,0,-2.00967,0.686659,0.268004,0,17.6296,11.3281,7.20901,0
30,2,0,260.173,210.947,54.6896,-1,-1,1.40335,-0.327725,0,0,2.90762,1.95153,0,0,37.5788,6.80806,0,0
31,1,0,198.343,189.867,-1,-1,-1,0.447671,0,0,0,1.80324,0,0,0,18.1916,0,0,0
32,1,0,248.531,147.774,-1,-1,-1,-1.20096,0,0,0,2.89774,0,0,0,29.8028,0,0,0
33,1,0,221.266,203.258,-1,-1,-1,0.511165,0,0,0,0.170229,0,0,0,34.6969,0,0,0
34,4,0,183.578,129.031,108.21,47.7039,35.8332,1.96131,1.3004,1.04782,-2.07519,-1.45769,-1.06935,-2.04619,1.55606,16.8155,15.6444,9.33747,6.21588
35,1,0,423.185,480.406,-1,-1,-1,1.20637,0,0,0,0.0945541,0,0,0,28.3466,0,0,0
36,3,0,765.77,610.273,115.866,113.686,-1,-1.91868,0.0554073,-0.542026,0,2.61333,2.96311,1.66248,0,50.7374,14.2826,7.81056,0
37,1,0,325.871,306.906,-1,-1,-1,1.22304,0,0,0,1.7791,0,0,0,33.1541,0,0,0
38,2,0,221.207,210.982,62.7528,-1,-1,0.719341,-2.09115,0,0,-1.94311,1.01999,0,0,26.4136,9.60837,0,0
39,3,0,258.337,167.5,61.2599,47.0946,-1,-1.55922,0.298677,0.839481,0,0.69201,1.6269,1.10964,0,16.3787,12.8205,7.32278,0
40,2,0,259.889,128.521,117.962,-1,-1,1.49872,1.5984,0,0,0.346397,1.44975,0,0,15.0133,13.1258,0,0
41,3,0,193.49,269.29,84.0589,35.9844,-1,-0.25483,-1.87027,-0.671674,0,2.93772,-0.719014,-2.77196,0,43.3947,11.7022,5.07154,0
42,2,0,325.972,313.413,81.1037,-1,-1,-1.33642,0.585875,0,0,1.25168,1.01113,0,0,34.5548,15.0924,0,0
43,3,0,145.37,206.674,68.1339,46.7902,-1,0.161886,2.3488,-0.727599,0,-2.1035,2.11926,-0.800642,0,23.0344,5.74327,10.8003,0
44,1,0,176.551,207.07,-1,-1,-1,2.26563,0,0,0,2.36482,0,0,0,21.2051,0,0,0
45,2,0,294.621,227.726,91.1754,-1,-1,-0.129717,0.118454,0,0,-1.56526,-2.14575,0,0,21.3511,10.575,0,0
46,2,0,132.053,228.747,58.4035,-1,-1,-0.298769,1.10169,0,0,-1.55013,1.65108,0,0,26.6868,13.2119,0,0
47,2,0,294.827,153.993,111.283,-1,-1,-0.591153,-1.80731,0,0,-0.144931,-0.376379,0,0,22.033,13.4724,0,0
48,3,0,312.903,184.336,103.449,45.081,-1,2.35308,-2.30392,2.10699,0,2.07758,2.07718,2.50679,0,28.9214,10.7454,8.0009,0
49,1,0,298.335,310.469,-1,-1,-1,-1.76941,0,0,0,1.92526,0,0,0,62.8211,0,0,0
50,3,0,238.706,43.66,38.8087,35.2116,-1,-2.17381,0.577808,-0.462931,0,0.621183,0.536475,0.958493,0,7.15025,6.85416,4.76012,0
51,1,0,261.903,172.063,-1,-1,-1,0.277181,0,0,0,-1.2038,0,0,0,23.4678,0,0,0
52,2,0,194.929,166.85,102.486,-1,-1,-0.745755,0.293709,0,0,-2.03245,-1.54267,0,0,23.1785,14.6642,0,0
53,3,0,359.531,199.804,136.605,42.506,-1,-0.114384,1.97932,0.263619,0,-0.876536,-0.542396,0.124081,0,34.1938,15.065,8.43899,0
54,1,0,185.936,220.197,-1,-1,-1,1.20819,0,0,0,-1.50279,0,0,0,20.2563,0,0,0
55,1,0,247.615,173.386,-1,-1,-1,0.0708678,0,0,0,-2.50782,0,0,0,40.7185,0,0,0
56,1,0,265.873,289.399,-1,-1,-1,-0.992669,0,0,0,-0.00841758,0,0,0,42.4172,0,0,0
57,3,0,328.635,513.302,186.454,43.0109,-1,-0.63409,-0.940515,-0.71238,0,-0.00562407,-2.59359,0.676005,0,47.0766,18.937,4.9241,0
58,3,0,319.388,175.441,102.294,72.5918,-1,-0.907398,-2.21461,-2.22401,0,-3.07246,-2.02631,-2.44788,0,28.4729,11.0423,7.45001,0
59,1,0,318.955,300.847,-1,-1,-1,1.24863,0,0,0,0.791139,0,0,0,42.7522,0,0,0
60,4,0,229.397,248.652,91.6883,90.5758,41.3901,1.01219,0.427571,2.05835,1.92577,-2.89185,-2.64743,0.754248,0.238727,40.3478,14.1303,14.7465,5.5465
61,1,0,265.229,302.878,-1,-1,-1,0.39592,0,0,0,2.74897,0,0,0,23.5173,0,0,0
62,2,0,310.248,247,82.2444,-1,-1,-2.17541,-0.288085,0,0,-1.92731,-2.87132,0,0,13.5072,12.6361,0,0
63,1,0,212.957,203.856,-1,-1,-1,0.536521,0,0,0,-2.45747,0,0,0,25.4367,0,0,0
64,0,0,227.385,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
65,2,0,383.154,448.59,80.5343,-1,-1,0.327331,2.39574,0,0,2.17414,-0.840478,0,0,32.3956,12.6547,0,0
66,1,0,145.059,187.889,-1,-1,-1,1.5,0,0,0,2.08928,0,0,0,18.3443,0,0,0
67,1,0,191.324,196.374,-1,-1,-1,-2.39334,0,0,0,-1.95534,0,0,0,12.7213,0,0,0
68,1,0,454.72,460.658,-1,-1,-1,-0.199019,0,0,0,1.98066,0,0,0,68.7134,0,0,0
69,1,0,208.812,231.836,-1,-1,-1,1.2159,0,0,0,1.83304,0,0,0,20.1978,0,0,0
70,2,0,190.411,153.524,62.0575,-1,-1,2.15146,1.36323,0,0,-1.82406,-2.29503,0,0,16.0471,14.2524,0,0
71,3,0,305.444,305.152,43.3162,35.0808,-1,1.55979,-0.960409,-1.08573,0,-0.356253,1.44652,-1.41773,0,18.3918,6.49157,7.52782,0
72,2,0,355.199,289.97,43.5937,-1,-1,-1.48591,1.30886,0,0,-1.71968,1.47743,0,0,22.2261,7.57348,0,0
73,2,0,139.825,201.151,55.9715,-1,-1,-0.63701,-1.8302,0,0,-1.52033,1.25076,0,0,24.8583,6.97941,0,0
74,1,0,321.503,357.44,-1,-1,-1,-0.786275,0,0,0,1.85715,0,0,0,32.7916,0,0,0
75,4,0,432.009,265.745,93.583,61.2294,47.5461,0.520681,1.69112,0.454234,1.55797,-1.84483,1.83719,-2.3606,2.59986,52.2435,14.2675,11.7903,8.48607
76,3,0,149.267,164.935,42.9309,41.8921,-1,-0.279523,-1.81413,-0.727724,0,-0.285732,1.92769,-0.292801,0,28.3048,7.44448,6.49893,0
77,1,0,248.094,230.128,-1,-1,-1,0.578765,0,0,0,2.29708,0,0,0,11.6315,0,0,0
78,2,0,243.484,201.734,63.2115,-1,-1,-0.532028,0.898793,0,0,-1.13168,-2.19329,0,0,23.9591,12.6718,0,0
79,3,0,193.062,302.048,75.2986,36.5309,-1,0.0599812,1.73525,-0.362389,0,1.48629,-2.11215,-0.66885,0,45.1236,9.2433,6.29591,0
80,2,0,93.4203,228.959,162.957,-1,-1,0.296802,-1.14551,0,0,0.852433,-1.81346,0,0,26.9043,13.7618,0,0
81,1,0,380.645,337.937,-1,-1,-1,1.73103,0,0,0,1.64775,0,0,0,29.9534,0,0,0
82,2,0,199.025,208.508,111.411,-1,-1,-0.738513,-1.4079,0,0,-1.8955,2.66915,0,0,17.5558,17.7158,0,0
