entry,numberOfJets,numberOfBJets,met,jetPtRec[0],jetPtRec[1],jetPtRec[2],jetPtRec[3],jetEtaRec[0],jetEtaRec[1],jetEtaRec[2],jetEtaRec[3],jetPhiRec[0],jetPhiRec[1],jetPhiRec[2],jetPhiRec[3],jetMass[0],jetMass[1],jetMass[2],jetMass[3]
0,3,0,164.022,81.166,45.7279,37.4597,-1,-1.29911,-1.48401,-0.47742,0,-1.65547,-1.09696,-0.0183598,0,8.54033,7.31501,6.33854,0
1,1,0,42.7228,56.6207,-1,-1,-1,-0.219115,0,0,0,0.584062,0,0,0,8.79824,0,0,0
2,2,0,353.787,418.504,58.086,-1,-1,-0.0985333,1.06295,0,0,2.95531,0.444459,0,0,37.2162,10.0418,0,0
3,1,0,101.703,77.3521,-1,-1,-1,-1.41069,0,0,0,-0.105398,0,0,0,10.6051,0,0,0
4,2,0,38.6829,84.5229,44.2928,-1,-1,1.52379,0.904595,0,0,2.37352,0.695493,0,0,9.82584,9.29103,0,0
5,1,0,47.4332,58.4781,-1,-1,-1,-1.07617,0,0,0,-0.958694,0,0,0,8.78611,0,0,0
6,1,0,64.3788,47.8082,-1,-1,-1,-0.107761,0,0,0,2.00338,0,0,0,8.12594,0,0,0
7,2,0,115.607,62.9835,53.2147,-1,-1,-0.572535,-0.897368,0,0,1.51905,-2.60325,0,0,13.184,8.97022,0,0
8,1,0,114.016,124.608,-1,-1,-1,1.93778,0,0,0,-0.794309,0,0,0,11.8936,0,0,0
9,0,0,63.4827,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,23.5674,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,64.0703,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
12,1,0,47.0057,37.5775,-1,-1,-1,2.32163,0,0,0,-1.74258,0,0,0,7.31331,0,0,0
13,1,0,40.605,47.105,-1,-1,-1,1.32406,0,0,0,0.786763,0,0,0,5.59954,0,0,0
14,1,0,151.675,84.1175,-1,-1,-1,1.27266,0,0,0,1.67085,0,0,0,14.8954,0,0,0
15,1,0,114.753,90.4467,-1,-1,-1,-0.222486,0,0,0,-0.377982,0,0,0,13.3954,0,0,0
16,0,0,69.1848,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
17,3,0,111.426,150.134,93.907,43.0914,-1,1.51964,-0.859912,2.33092,0,2.89461,0.271075,2.65696,0,23.3639,11.9623,9.74145,0
18,1,0,40.5155,76.2151,-1,-1,-1,0.215081,0,0,0,1.93118,0,0,0,6.56617,0,0,0
19,2,0,151.705,86.6945,83.6857,-1,-1,0.252767,0.106033,0,0,-1.92833,-0.834465,0,0,11.633,11.6859,0,0
20,3,0,186.398,71.7094,67.8268,55.8136,-1,-0.234089,-1.7618,-1.75008,0,-2.50389,-3.08686,-1.22649,0,13.5982,8.16442,12.2732,0
21,1,0,69.4929,84.2348,-1,-1,-1,1.55834,0,0,0,-0.58971,0,0,0,9.96848,0,0,0
22,3,0,93.2912,96.5348,67.798,39.3539,-1,-1.95031,-1.34058,0.249242,0,2.39116,-2.57791,-1.01658,0,7.32916,9.18331,6.53632,0
23,4,0,194.334,167.752,78.5151,66.2515,39.6709,-0.280176,1.38042,0.125552,0.981554,-1.14258,2.86978,-1.78442,-1.30771,24.2211,13.217,7.76338,5.98724
24,1,0,53.1048,68.4032,-1,-1,-1,-1.61368,0,0,0,0.666091,0,0,0,11.5429,0,0,0
25,1,0,225.763,167.768,-1,-1,-1,1.62387,0,0,0,-2.58422,0,0,0,16.4748,0,0,0
26,2,0,43.8608,73.9941,51.8338,-1,-1,-0.247173,-0.893639,0,0,-1.31308,-3.11226,0,0,10.2987,7.03498,0,0
27,2,0,59.3662,48.8517,40.9755,-1,-1,1.45689,2.35887,0,0,0.0985093,2.67636,0,0,6.07572,4.41186,0,0
28,1,0,51.6141,43.5427,-1,-1,-1,-0.0937122,0,0,0,0.861132,0,0,0,5.89213,0,0,0
29,0,0,140.813,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
30,1,0,40.8479,67.1657,-1,-1,-1,-0.7166,0,0,0,2.86267,0,0,0,10.4862,0,0,0
31,3,0,65.4806,158.159,43.3359,40.3931,-1,-0.599763,-0.427662,-0.185056,0,-2.17559,2.97077,-1.89675,0,35.3247,6.52986,6.86086,0
32,1,0,14.1862,43.1256,-1,-1,-1,0.165528,0,0,0,0.532025,0,0,0,7.69833,0,0,0
33,1,0,89.5387,79.0725,-1,-1,-1,-0.0687985,0,0,0,2.18434,0,0,0,12.166,0,0,0
34,5,0,102.464,184.995,82.1145,46.3355,39.4547,1.68541,-0.350254,-0.0602654,-0.794376,-1.26557,-2.26811,2.93352,1.14225,26.0986,12.8457,8.13403,8.22763
35,3,0,174.634,101.633,61.6443,50.2234,-1,1.38545,0.415387,-0.726291,0,-2.4421,-1.32212,-0.784991,0,18.0228,12.7179,7.72836,0
36,2,0,86.7035,135.029,36.1192,-1,-1,-0.676415,-0.296703,0,0,-1.85276,1.96549,0,0,17.733,5.6422,0,0
37,0,0,85.8219,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
38,1,0,149.128,45.1746,-1,-1,-1,-1.70062,0,0,0,2.38508,0,0,0,8.56186,0,0,0
39,0,0,21.1667,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
40,1,0,76.5455,119.701,-1,-1,-1,-1.61448,0,0,0,1.0465,0,0,0,15.0503,0,0,0
41,2,0,127.533,74.4856,52.5301,-1,-1,-1.28685,0.0270279,0,0,2.85033,-2.32227,0,0,11.1651,8.46,0,0
42,0,0,51.0766,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
43,2,0,75.8622,54.0929,37.1459,-1,-1,2.36824,1.17511,0,0,-1.02805,-2.47456,0,0,7.35515,5.97385,0,0
44,2,0,32.6192,130.699,77.0753,-1,-1,-1.40746,1.67665,0,0,-2.69712,-0.870322,0,0,15.2367,12.5153,0,0
45,4,0,182.674,134.28,102.977,44.2197,39.7342,-0.0418751,0.0102601,-0.987969,-0.175782,-2.9193,1.56378,-2.6699,-0.320334,17.3753,11.7489,11.5486,6.93658
46,1,0,109.244,82.7103,-1,-1,-1,1.46305,0,0,0,2.26393,0,0,0,19.7067,0,0,0
47,2,0,83.0753,81.4819,55.0523,-1,-1,-0.809715,0.337005,0,0,-1.09428,0.927537,0,0,11.2792,10.6718,0,0
48,3,0,262.118,254.874,126.466,52.1403,-1,1.54164,1.03615,-0.158361,0,1.38612,-0.500411,-0.979589,0,32.7695,15.9787,7.69401,0
49,0,0,33.1505,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
